500 7

A	B	C	D	E	F	Class
aj	v	e	s	aw	f	c4
aw	g	aj	w	h	f	c4
ax	av	g	ax	ak	f	c4
ao	ao	y	v	a	c	c5
r	b	f	am	ap	b	c2
e	s	g	am	p	b	c2
ah	e	ae	ad	h	b	c2
ae	an	w	aj	ah	f	c4
ai	z	n	h	h	f	c4
ab	ao	ac	e	ac	c	c5
a	i	aa	o	h	c	c5
aa	o	af	b	ad	p	c1
ap	h	ak	n	aq	b	c2
d	t	n	a	v	p	c1
v	k	a	y	e	l	c3
v	z	b	q	ap	c	c5
s	an	n	ad	am	p	c1
al	d	ag	k	q	f	c4
at	aq	j	g	w	c	c5
ab	at	ah	p	w	p	c1
at	k	aa	g	t	p	c1
k	l	ar	ae	al	p	c1
am	a	ap	t	aq	p	c1
z	aw	as	ao	av	c	c5
an	at	n	ai	n	f	c4
w	o	p	f	aj	b	c2
al	f	o	j	at	p	c1
au	e	am	q	v	p	c1
p	aw	t	g	an	b	c2
f	g	aw	ab	q	c	c5
k	m	ae	e	ad	b	c2
m	as	aj	ad	k	c	c5
g	d	r	n	an	f	c4
ao	ak	aa	k	ae	p	c1
g	f	ar	d	s	p	c1
af	aj	g	aq	aj	l	c3
ap	j	aq	w	q	f	c4
ar	l	d	w	x	l	c3
ap	au	p	g	u	l	c3
g	c	ac	p	ah	p	c1
u	o	o	ac	aa	f	c4
c	l	ae	s	aw	l	c3
u	a	ak	q	at	c	c5
ap	b	ag	v	r	f	c4
p	k	a	ab	al	f	c4
u	h	af	at	aw	p	c1
f	o	ak	ax	i	f	c4
av	r	g	z	d	f	c4
u	z	s	l	v	c	c5
l	ar	m	aw	aq	l	c3
i	ab	ag	b	av	p	c1
aq	b	aj	z	au	b	c2
af	ac	aq	an	k	l	c3
ah	ac	aa	l	v	b	c2
h	y	d	o	x	l	c3
ak	ab	m	ac	i	b	c2
q	m	k	ai	j	b	c2
r	e	q	ax	p	f	c4
g	af	aa	ao	am	p	c1
aw	ak	l	ah	p	l	c3
af	ae	f	y	w	b	c2
v	t	x	b	as	f	c4
ar	am	au	al	j	c	c5
ag	p	f	f	n	l	c3
w	au	o	an	n	f	c4
u	q	o	a	ar	l	c3
y	m	aj	m	ai	c	c5
aq	aq	ax	w	an	c	c5
am	ax	ao	b	ag	l	c3
v	q	c	f	ai	l	c3
j	w	av	ak	p	f	c4
af	ac	i	y	q	c	c5
am	j	av	al	n	p	c1
ax	am	ad	d	s	c	c5
ak	at	aq	s	z	f	c4
k	ar	s	o	f	p	c1
k	al	u	v	g	f	c4
at	ar	s	j	ah	b	c2
b	e	d	ae	aq	b	c2
w	r	y	at	l	c	c5
g	v	u	l	j	f	c4
j	v	as	ai	ah	c	c5
n	y	b	e	aw	l	c3
a	x	k	ab	aj	c	c5
g	r	ac	af	t	c	c5
q	m	ag	f	c	b	c2
l	an	r	ap	f	c	c5
ae	t	k	i	ae	c	c5
m	an	as	y	as	c	c5
n	z	i	u	t	p	c1
v	c	f	ak	at	c	c5
q	g	v	v	ae	b	c2
ao	c	y	ah	al	b	c2
ag	aa	l	t	e	l	c3
r	v	d	w	d	l	c3
ai	ak	ah	an	ad	b	c2
ak	f	o	ab	ag	l	c3
z	ax	ao	ao	p	b	c2
aw	ax	i	af	i	f	c4
k	c	ad	am	ag	c	c5
y	u	v	as	f	l	c3
n	ai	ao	q	al	c	c5
ax	w	u	r	ai	p	c1
w	au	s	ae	b	b	c2
m	ao	ag	y	ag	f	c4
aw	r	i	ai	as	f	c4
r	an	am	b	m	l	c3
r	av	b	l	ag	c	c5
ab	ah	as	n	ar	b	c2
aa	au	ab	r	w	f	c4
v	k	an	ad	z	c	c5
r	an	am	av	y	p	c1
o	at	k	at	ai	l	c3
n	l	al	y	f	l	c3
t	k	u	k	x	p	c1
r	l	ao	aw	g	c	c5
t	aw	aj	i	s	p	c1
aq	y	an	q	av	p	c1
aw	aq	ac	o	ac	b	c2
j	ae	ag	r	q	p	c1
ai	d	ad	a	l	f	c4
av	au	s	am	e	l	c3
ar	aj	ah	al	w	c	c5
w	ae	ar	o	aw	l	c3
v	w	av	l	n	c	c5
b	h	ah	ah	e	b	c2
q	s	y	af	d	b	c2
d	ag	aw	t	d	c	c5
am	ab	aq	aq	r	l	c3
ad	d	d	j	ak	f	c4
s	l	ao	ar	i	p	c1
ai	e	s	aq	ae	p	c1
y	av	aw	i	e	p	c1
ad	as	ab	h	ac	p	c1
y	at	i	y	aw	f	c4
w	j	ah	ah	v	l	c3
ad	af	k	g	x	b	c2
an	x	as	a	ae	c	c5
y	m	aa	e	d	c	c5
t	ah	ab	j	f	l	c3
af	z	av	n	ah	b	c2
w	r	f	l	au	l	c3
v	aa	ag	ad	ap	c	c5
ac	e	ab	t	an	f	c4
ab	av	ac	as	ak	l	c3
au	j	n	z	l	p	c1
y	ai	s	au	ai	c	c5
p	q	a	d	c	f	c4
am	h	k	w	ao	b	c2
t	r	g	z	as	c	c5
x	u	ag	b	j	c	c5
a	q	ar	al	af	p	c1
m	as	b	av	ah	p	c1
e	ac	al	ae	ao	b	c2
f	c	av	m	av	p	c1
h	a	o	ad	h	p	c1
o	au	ae	g	z	c	c5
y	au	h	y	d	f	c4
ab	aq	ag	d	k	c	c5
m	q	d	ao	e	l	c3
y	r	at	au	ac	b	c2
