10000 7
A	B	C	D	E	F	Class
eo	xn	fb	fg	og	kh	c4
on	aba	gg	aan	ik	ajs	c2
aal	xn	go	aab	ka	afx	c4
ahm	aeb	cp	kr	lg	abl	c5
ajj	aba	xc	xx	yx	ks	c2
l	aeb	aei	afv	os	pc	c5
w	aeb	rd	et	ql	ago	c5
ej	ng	l	iu	ahe	gj	c3
ax	ace	uy	v	uj	xu	c1
abx	aeb	tp	iu	abe	cy	c5
ts	ng	aca	nw	jo	cf	c3
xp	ace	yh	wu	aca	aeq	c1
gl	aeb	op	ma	kb	hw	c5
dc	xn	ajs	cp	kw	aii	c4
ahk	ng	vm	aev	vh	gl	c3
ack	aeb	aih	nn	pj	aac	c5
io	ng	rp	sp	rw	dm	c3
r	ace	agb	afu	ahj	lr	c1
ni	ace	vf	dt	yv	y	c1
acr	ng	jw	xb	ci	agy	c3
wu	ace	eh	jj	aid	lm	c1
xc	ng	agg	bz	aq	xi	c3
xd	ace	gt	wm	acw	aeb	c1
gi	xn	wy	ad	ht	tz	c4
ajh	aba	akc	mx	adh	afm	c2
aid	xn	bl	no	zj	or	c4
qb	aba	aay	ace	la	hv	c2
kj	aba	dw	sk	ahf	is	c2
nz	ng	rx	adr	ny	xp	c3
gt	aeb	ga	nk	hb	mt	c5
adl	xn	ie	cq	sz	dw	c4
or	ace	kq	in	hl	te	c1
gq	aeb	rc	z	bv	acy	c5
fa	aeb	hv	acs	adf	ml	c5
zd	ace	fg	gu	xi	mo	c1
dz	ng	aev	gq	ir	zb	c3
ij	ng	nd	xl	ala	aid	c3
or	ace	zu	y	dc	acx	c1
ak	xn	aku	eg	gf	hq	c4
yd	aeb	aeq	fi	agb	vl	c5
gj	aeb	ma	rq	adc	pp	c5
af	aeb	tb	tu	gw	akb	c5
ux	ng	ce	aen	ws	acp	c3
aiq	ng	gt	dw	qa	tj	c3
jv	ace	zc	pz	di	pn	c1
aje	aba	gt	xq	ahi	afb	c2
adg	aba	abs	en	ix	fu	c2
ga	aeb	dg	xl	cm	va	c5
me	aeb	px	jf	acl	aa	c5
mm	ng	vj	hp	ahk	eq	c3
oj	aeb	abs	aie	ma	akc	c5
ip	aeb	akd	fw	ve	js	c5
dv	ng	zv	wz	aio	fr	c3
jq	aeb	vw	aih	ld	lf	c5
acy	ng	dg	acz	aem	kl	c3
alj	aba	nq	kv	t	sm	c2
jp	aeb	wr	all	ei	aai	c5
acf	ng	aew	adr	agy	aix	c3
ahw	xn	hi	se	ahd	bh	c4
ry	xn	wt	qr	ma	aap	c4
x	ng	xx	dm	ahj	aan	c3
u	aba	yw	aj	cu	hk	c2
iq	aba	rd	add	alj	n	c2
je	ng	kr	kq	zm	afl	c3
fs	xn	sz	abf	ns	vh	c4
akp	aeb	qh	r	aio	sl	c5
vf	ace	gk	ml	aid	akw	c1
aem	aeb	ahb	jt	agz	jp	c5
afi	aba	dr	adv	ab	vs	c2
vi	aeb	xz	gl	agw	ub	c5
es	aba	afa	cb	fe	ho	c2
q	xn	aes	vb	aey	lb	c4
mr	ng	xf	kp	ax	hi	c3
br	xn	aej	tg	gi	ahw	c4
ahp	ace	fc	adn	nr	ff	c1
sk	aba	jo	ahm	kj	dq	c2
kg	aeb	vd	ajs	uj	ace	c5
aep	xn	ajy	vw	cc	qs	c4
uy	ace	akv	bg	qk	adn	c1
pk	aba	fc	pq	afa	adq	c2
ach	aba	sj	abj	kr	jg	c2
uj	ace	sg	dw	all	b	c1
afq	ace	wk	abz	pa	ax	c1
ta	ace	ce	xh	uz	xy	c1
pw	aeb	md	aet	c	ahh	c5
agb	ng	tm	vi	ahz	jf	c3
aj	aeb	jb	xu	ks	kh	c5
ky	aba	xv	zl	fx	aeo	c2
aap	ace	aeg	ye	gn	oc	c1
acr	ace	ca	b	ii	jt	c1
ado	ng	akv	mt	iz	uf	c3
afq	xn	ajg	i	ajy	ng	c4
gt	aba	up	d	agk	afo	c2
gk	ng	le	hm	jc	ru	c3
ael	xn	da	adk	cg	es	c4
aed	aeb	uw	lv	ve	jy	c5
qc	aba	kx	aka	adh	vn	c2
wv	aba	nz	aek	yn	qv	c2
aeb	aba	kl	afc	qi	cr	c2
bc	aba	nd	acu	wn	gj	c2
vz	ng	ale	aan	wr	zc	c3
ali	ng	ul	wm	gj	vk	c3
adn	xn	rk	dm	aix	gk	c4
dv	aba	abb	acd	tv	ew	c2
acf	xn	ye	bt	fl	op	c4
tx	ng	q	uk	agb	tq	c3
ag	aba	dz	rj	ms	et	c2
afy	xn	akd	abx	aic	tz	c4
sd	aba	agz	vx	jj	ajq	c2
qo	aba	ajn	kp	fv	akm	c2
aac	ng	bd	zv	fd	akl	c3
t	ng	uw	aka	acd	aiv	c3
ain	xn	ajz	alc	akm	gv	c4
