1000 11
A	B	C	D	E	F	G	H	I	J	Class
t	w	ac	e	ax	x	e	c	y	u	c7
aj	al	u	aa	h	ad	t	g	n	m	c1
ap	s	ag	ah	g	r	aa	ak	ap	t	c9
ae	s	ag	ah	r	r	ak	ak	ai	g	c9
m	a	c	o	ak	p	aq	r	aq	aa	c8
p	al	x	b	g	x	s	au	e	ae	c5
l	c	ap	t	al	ax	at	m	q	z	c2
r	s	ag	ah	aj	r	af	ak	x	m	c9
ax	r	o	am	ab	c	p	g	r	h	c4
i	ae	ab	ax	v	p	ag	av	ax	n	c10
s	al	x	b	z	x	l	o	w	ae	c5
ai	c	ab	x	al	u	at	aa	q	z	c2
ak	r	o	am	p	al	p	g	r	h	c4
aa	c	ah	au	al	aw	at	y	q	z	c2
t	w	ac	ad	ae	h	aa	c	y	ar	c7
ar	ax	ax	i	ao	w	q	ah	n	r	c3
m	a	c	al	ak	ad	aq	z	k	an	c8
i	s	ag	ah	aa	r	y	ak	h	i	c9
t	w	ac	as	v	aq	s	c	y	p	c7
am	r	o	ax	af	ak	a	g	r	h	c4
y	r	o	u	aw	ae	q	g	r	h	c4
am	al	x	b	t	x	x	b	ak	ae	c5
al	r	o	t	w	s	j	g	r	h	c4
aj	al	g	l	h	g	a	g	s	m	c1
av	am	h	al	ah	t	af	ak	am	at	c6
i	am	h	as	q	t	h	ak	am	av	c6
m	a	c	as	ak	a	aq	h	m	b	c8
aa	ax	x	q	ao	d	q	ah	o	r	c3
ae	ax	j	q	ao	ai	q	ah	o	r	c3
ao	s	ag	ah	t	r	m	ak	t	ap	c9
d	ax	k	u	ao	as	q	ah	av	r	c3
d	al	x	b	am	x	i	ah	i	ae	c5
al	al	x	b	t	x	al	ap	l	ae	c5
y	al	x	b	ac	x	q	ai	al	ae	c5
aj	c	t	ao	al	h	at	q	q	z	c2
ao	s	ag	ah	r	r	h	ak	af	x	c9
aq	al	x	b	u	x	ag	ao	aa	ae	c5
ae	al	x	b	aa	x	f	o	ah	ae	c5
aj	al	aa	al	h	z	r	g	ak	m	c1
ar	al	x	b	t	x	v	ao	ax	ae	c5
aj	al	v	l	h	am	q	g	b	m	c1
ag	al	x	b	u	x	s	f	i	ae	c5
at	ax	ac	ap	ao	au	q	ah	at	r	c3
as	s	ag	ah	ah	r	r	ak	ah	t	c9
t	w	ac	as	e	ab	d	c	y	f	c7
ak	s	ag	ah	an	r	f	ak	ap	ab	c9
c	ax	ar	w	ao	b	q	ah	x	r	c3
u	am	h	n	ap	t	t	ak	am	z	c6
af	am	h	g	q	t	ak	ak	am	ak	c6
i	ae	s	ao	o	p	ag	t	a	n	c10
i	ae	x	q	ak	p	ag	t	an	n	c10
r	s	ag	ah	ax	r	j	ak	af	f	c9
i	ae	c	au	aj	p	ag	ac	p	n	c10
i	ae	x	ak	au	p	ag	ar	s	n	c10
m	a	c	av	ak	g	aq	am	ax	aa	c8
m	a	c	ad	ak	ae	aq	i	v	ad	c8
